Category,Package,Path,Current Version,Latest Version
app-accessibility,at-spi2-atk,./azusa-opensource-recipes/app-accessibility/at-spi2-atk/at-spi2-atk-2.34.0.sh,2.34.0,TBD
app-accessibility,at-spi2-core,./azusa-opensource-recipes/app-accessibility/at-spi2-core/at-spi2-core-2.34.0.sh,2.34.0,TBD
app-accessibility,espeak,./azusa-opensource-recipes/app-accessibility/espeak/espeak-1.48.04.sh,1.48.04,TBD
app-accessibility,flite,./azusa-opensource-recipes/app-accessibility/flite/flite-2.2.sh,2.2,TBD
app-accessibility,speech-dispatcher,./azusa-opensource-recipes/app-accessibility/speech-dispatcher/speech-dispatcher-0.11.5.sh,0.11.5,TBD
app-admin,ansible,./azusa-opensource-recipes/app-admin/ansible/ansible-2.9.5.sh,2.9.5,TBD
app-admin,gamin,./azusa-opensource-recipes/app-admin/gamin/gamin-0.1.10.sh,0.1.10,TBD
app-admin,keepassxc,./azusa-opensource-recipes/app-admin/keepassxc/keepassxc-2.7.4.sh,2.7.4,TBD
app-admin,prelude-manager,./azusa-opensource-recipes/app-admin/prelude-manager/prelude-manager-5.1.0.sh,5.1.0,TBD
app-admin,sudo,./azusa-opensource-recipes/app-admin/sudo/sudo-1.9.13.sh,1.9.13,TBD
app-admin,sysklogd,./azusa-opensource-recipes/app-admin/sysklogd/sysklogd-2.4.4.sh,2.4.4,TBD
app-admin,syslog-ng,./azusa-opensource-recipes/app-admin/syslog-ng/syslog-ng-4.0.1.sh,4.0.1,TBD
app-antivirus,clamav,./azusa-opensource-recipes/app-antivirus/clamav/clamav-1.1.0.sh,1.1.0,TBD
app-arch,brotli,./azusa-opensource-recipes/app-arch/brotli/brotli-1.0.9.sh,1.0.9,TBD
app-arch,bzip2,./azusa-opensource-recipes/app-arch/bzip2/bzip2-1.0.8.sh,1.0.8,TBD
app-arch,cabextract,./azusa-opensource-recipes/app-arch/cabextract/cabextract-1.9.1.sh,1.9.1,TBD
app-arch,cpio,./azusa-opensource-recipes/app-arch/cpio/cpio-2.13.sh,2.13,TBD
app-arch,dpkg,./azusa-opensource-recipes/app-arch/dpkg/dpkg-1.21.1.sh,1.21.1,TBD
app-arch,gzip,./azusa-opensource-recipes/app-arch/gzip/gzip-1.12.sh,1.12,TBD
app-arch,lha,./azusa-opensource-recipes/app-arch/lha/lha-1.14i.sh,1.14i,TBD
app-arch,libarchive,./azusa-opensource-recipes/app-arch/libarchive/libarchive-3.6.2.sh,3.6.2,TBD
app-arch,libdeflate,./azusa-opensource-recipes/app-arch/libdeflate/libdeflate-1.8.sh,1.8,TBD
app-arch,lz4,./azusa-opensource-recipes/app-arch/lz4/lz4-1.9.4.sh,1.9.4,TBD
app-arch,lzip,./azusa-opensource-recipes/app-arch/lzip/lzip-1.23.sh,1.23,TBD
app-arch,tar,./azusa-opensource-recipes/app-arch/tar/tar-1.34.sh,1.34,TBD
app-arch,unzip,./azusa-opensource-recipes/app-arch/unzip/unzip-6.0_p26.sh,6.0_p26,TBD
app-arch,upx,./azusa-opensource-recipes/app-arch/upx/upx-3.96.sh,3.96,TBD
app-arch,xar,./azusa-opensource-recipes/app-arch/xar/xar-494.81.1.sh,494.81.1,TBD
app-arch,xz,./azusa-opensource-recipes/app-arch/xz/xz-5.4.5.sh,5.4.5,TBD
app-arch,zip,./azusa-opensource-recipes/app-arch/zip/zip-3.0.sh,3.0,TBD
app-arch,zstd,./azusa-opensource-recipes/app-arch/zstd/zstd-1.5.5.sh,1.5.5,TBD
app-cdr,xfburn,./azusa-opensource-recipes/app-cdr/xfburn/xfburn-0.6.1.sh,0.6.1,TBD
app-crypt,argon2,./azusa-opensource-recipes/app-crypt/argon2/argon2-20190702.sh,20190702,TBD
app-crypt,gnupg,./azusa-opensource-recipes/app-crypt/gnupg/gnupg-2.4.5.sh,2.4.5,TBD
app-crypt,gpa,./azusa-opensource-recipes/app-crypt/gpa/gpa-0.10.0.sh,0.10.0,TBD
app-crypt,gpgme,./azusa-opensource-recipes/app-crypt/gpgme/gpgme-1.19.0.sh,1.19.0,TBD
app-crypt,johntheripper-jumbo,./azusa-opensource-recipes/app-crypt/johntheripper-jumbo/johntheripper-jumbo-1.9.0_p20211129.sh,1.9.0_p20211129,TBD
app-crypt,libmd,./azusa-opensource-recipes/app-crypt/libmd/libmd-1.0.4.sh,1.0.4,TBD
app-crypt,libsecret,./azusa-opensource-recipes/app-crypt/libsecret/libsecret-0.20.5.sh,0.20.5,TBD
app-crypt,mit-krb5,./azusa-opensource-recipes/app-crypt/mit-krb5/mit-krb5-1.20.1.sh,1.20.1,TBD
app-crypt,p11-kit,./azusa-opensource-recipes/app-crypt/p11-kit/p11-kit-0.23.16.sh,0.23.16,TBD
app-crypt,rhash,./azusa-opensource-recipes/app-crypt/rhash/rhash-1.4.3.sh,1.4.3,TBD
app-crypt,swtpm,./azusa-opensource-recipes/app-crypt/swtpm/swtpm-0.3.0.sh,0.3.0,TBD
app-crypt,tpm2-ibmswtpm,./azusa-opensource-recipes/app-crypt/tpm2-ibmswtpm/tpm2-ibmswtpm-1661.sh,1661,TBD
app-crypt,tpm2-tss,./azusa-opensource-recipes/app-crypt/tpm2-tss/tpm2-tss-4.0.1.sh,4.0.1,TBD
app-crypt,tpm-tools,./azusa-opensource-recipes/app-crypt/tpm-tools/tpm-tools-1.3.9.2.sh,1.3.9.2,TBD
app-crypt,trousers,./azusa-opensource-recipes/app-crypt/trousers/trousers-0.3.15.sh,0.3.15,TBD
app-crypt,yubihsm-connector,./azusa-opensource-recipes/app-crypt/yubihsm-connector/yubihsm-connector-3.0.4.sh,3.0.4,TBD
app-doc,autobook,./azusa-opensource-recipes/app-doc/autobook/autobook-1.5.sh,1.5,TBD
app-doc,doxygen,./azusa-opensource-recipes/app-doc/doxygen/doxygen-1.9.4.sh,1.9.4,TBD
app-editors,nano,./azusa-opensource-recipes/app-editors/nano/nano-5.5.sh,5.5,TBD
app-editors,vim,./azusa-opensource-recipes/app-editors/vim/vim-9.0.1403.sh,9.0.1403,TBD
app-editors,vscode,./azusa-opensource-recipes/app-editors/vscode/vscode-1.83.0.sh,1.83.0,TBD
app-emulation,intel-sde,./azusa-opensource-recipes/app-emulation/intel-sde/intel-sde-9.21.1.sh,9.21.1,TBD
app-emulation,libcacard,./azusa-opensource-recipes/app-emulation/libcacard/libcacard-2.6.0.sh,2.6.0,TBD
app-emulation,libvirt,./azusa-opensource-recipes/app-emulation/libvirt/libvirt-7.3.0.sh,7.3.0,TBD
app-emulation,lxc,./azusa-opensource-recipes/app-emulation/lxc/lxc-3.1.0.sh,3.1.0,TBD
app-emulation,qemu,./azusa-opensource-recipes/app-emulation/qemu/qemu-8.0.2.sh,8.0.2,TBD
app-emulation,qemu-console,./azusa-opensource-recipes/app-emulation/qemu-console/qemu-console-8.0.2.sh,8.0.2,TBD
app-emulation,runc,./azusa-opensource-recipes/app-emulation/runc/runc-1.0.0.sh,1.0.0,TBD
app-emulation,snapd,./azusa-opensource-recipes/app-emulation/snapd/snapd-2.51.4.sh,2.51.4,TBD
app-emulation,spice,./azusa-opensource-recipes/app-emulation/spice/spice-0.15.0.sh,0.15.0,TBD
app-emulation,spice-protocol,./azusa-opensource-recipes/app-emulation/spice-protocol/spice-protocol-0.14.3.sh,0.14.3,TBD
app-emulation,virtiofsd,./azusa-opensource-recipes/app-emulation/virtiofsd/virtiofsd-1.6.0.sh,1.6.0,TBD
app-emulation,wine-vanilla,./azusa-opensource-recipes/app-emulation/wine-vanilla/wine-vanilla-8.17.sh,8.17,TBD
app-forensics,mac-robber,./azusa-opensource-recipes/app-forensics/mac-robber/mac-robber-1.02.sh,1.02,TBD
app-forensics,scalpel,./azusa-opensource-recipes/app-forensics/scalpel/scalpel-2.0.sh,2.0,TBD
app-forensics,unhide,./azusa-opensource-recipes/app-forensics/unhide/unhide-20130526.sh,20130526,TBD
app-forensics,zzuf,./azusa-opensource-recipes/app-forensics/zzuf/zzuf-0.15.sh,0.15,TBD
app-i18n,anthy,./azusa-opensource-recipes/app-i18n/anthy/anthy-9100h.sh,9100h,TBD
app-i18n,ibus,./azusa-opensource-recipes/app-i18n/ibus/ibus-1.5.22.sh,1.5.22,TBD
app-i18n,libskk,./azusa-opensource-recipes/app-i18n/libskk/libskk-1.0.5.sh,1.0.5,TBD
app-i18n,unicode-cldr,./azusa-opensource-recipes/app-i18n/unicode-cldr/unicode-cldr-44.1.sh,44.1,TBD
app-i18n,unicode-ucd,./azusa-opensource-recipes/app-i18n/unicode-ucd/unicode-ucd-1.0.sh,1.0,TBD
app-misc,ca-certificates,./azusa-opensource-recipes/app-misc/ca-certificates/ca-certificates-20211016.3.77.sh,20211016.3.77,TBD
app-misc,c_rehash,./azusa-opensource-recipes/app-misc/c_rehash/c_rehash-1.7.sh,1.7,TBD
app-misc,elasticsearch,./azusa-opensource-recipes/app-misc/elasticsearch/elasticsearch-8.7.1.sh,8.7.1,TBD
app-misc,figlet,./azusa-opensource-recipes/app-misc/figlet/figlet-2.2.5.sh,2.2.5,TBD
app-misc,geoclue,./azusa-opensource-recipes/app-misc/geoclue/geoclue-2.5.3.sh,2.5.3,TBD
app-misc,jq,./azusa-opensource-recipes/app-misc/jq/jq-1.7.sh,1.7,TBD
app-misc,screen,./azusa-opensource-recipes/app-misc/screen/screen-4.9.0.sh,4.9.0,TBD
app-misc,toilet,./azusa-opensource-recipes/app-misc/toilet/toilet-0.3.sh,0.3,TBD
app-shells,zsh,./azusa-opensource-recipes/app-shells/zsh/zsh-5.9.sh,5.9,TBD
app-text,asciidoc,./azusa-opensource-recipes/app-text/asciidoc/asciidoc-10.2.0.sh,10.2.0,TBD
app-text,aspell,./azusa-opensource-recipes/app-text/aspell/aspell-0.60.8.sh,0.60.8,TBD
app-text,build-docbook-catalog,./azusa-opensource-recipes/app-text/build-docbook-catalog/build-docbook-catalog-1.24.sh,1.24,TBD
app-text,cmark,./azusa-opensource-recipes/app-text/cmark/cmark-0.29.0.sh,0.29.0,TBD
app-text,docbook-xml-dtd,./azusa-opensource-recipes/app-text/docbook-xml-dtd/docbook-xml-dtd-5.1.sh,5.1,TBD
app-text,docbook-xsl-nons-stylesheets,./azusa-opensource-recipes/app-text/docbook-xsl-nons-stylesheets/docbook-xsl-nons-stylesheets-1.79.2.sh,1.79.2,TBD
app-text,docbook-xsl-stylesheets,./azusa-opensource-recipes/app-text/docbook-xsl-stylesheets/docbook-xsl-stylesheets-1.79.2.sh,1.79.2,TBD
